state,event_count,grad_rate,gun_owner_rate,illegal_immigrant_rate,law_score,police_spending,cost_per_student
Indiana,72,0.78,0.34,0.02,0.7,183.04,954.43
Florida,119,0.69,0.33,0.04,0,373.9,1157.03
Delaware,29,0.76,0.05,0.03,3,375.3,1353.71
Rhode Island,7,0.77,0.06,0.03,3.3,390.96,1348.01
Connecticut,29,0.82,0.17,0.04,3.7,331.7,938.11
Pennsylvania,281,0.84,0.27,0.01,2,290.76,1186.67
Oklahoma,35,0.79,0.31,0.02,0,269.8,1041.04
New York,129,0.71,0.1,0.04,3.7,486.02,1244.82
Ohio,109,0.8,0.2,0.01,1,293.94,1121.83
New Jersey,87,0.86,0.11,0.05,3.7,372.23,884.98
Nevada,20,0.63,0.38,0.07,0.9,395.91,891.06
Wyoming,2,0.77,0.54,0.01,0,389.98,1304.58
Nebraska,12,0.87,0.2,0.03,1,228.29,1144.54
West Virginia,20,0.79,0.54,0,0.23,203.46,1285.84
North Dakota,4,0.87,0.48,0.01,0,278.88,1430.93
Kansas,37,0.82,0.32,0.03,0,272.77,1070.77
South Carolina,68,0.67,0.44,0.02,0,236.16,1171.87
Alaska,20,0.71,0.62,0.01,0,491.79,2336.96
North Carolina,91,0.75,0.29,0.03,0.47,317.57,1058.75
Georgia,64,0.67,0.32,0.04,0,251.45,1062.6
Alabama,55,0.72,0.49,0.01,0,260.45,1137.51
Arizona,37,0.74,0.32,0.04,0,311.36,1174.96
Virginia,58,0.8,0.29,0.03,1,275.12,824.26
Maine,8,0.81,0.23,0,0,193.33,1087.53
New Hampshire,7,0.83,0.14,0.01,0.67,303.35,953.63
Illinois,155,0.8,0.26,0.03,3.3,389.8,1142.33
Montana,20,0.83,0.52,0,0,295.41,1545.57
Massachusetts,50,0.82,0.23,0.04,3.7,356.48,933.51
South Dakota,3,0.82,0.35,0.01,0,227.94,1499.49
Mississippi,25,0.66,0.43,0.01,0,244.83,1419.51
Missouri,57,0.83,0.27,0.01,0,283.4,1046.13
New Mexico,13,0.67,0.5,0.03,0,330.93,1630.84
California,412,0.76,0.2,0.06,3.9,426.2,1153.04
Michigan,73,0.76,0.29,0.01,2,246.99,1146.75
Wisconsin,68,0.88,0.35,0.01,1.47,317.87,931.4
Vermont,7,0.87,0.29,0,0,329.67,1304.12
Oregon,28,0.74,0.27,0.03,2,304.7,977.95
Louisiana,51,0.68,0.45,0.02,0,340.43,1580.55
Washington,46,0.76,0.28,0.03,2.9,259.1,1010.87
Idaho,5,0.81,0.57,0.02,0,258.31,876.87
Utah,18,0.81,0.32,0.03,0,226.65,701.48
Colorado,251,0.78,0.34,0.03,1.9,336.84,803.68
Minnesota,35,0.86,0.37,0.02,2.2,337.2,826.06
Texas,152,0.78,0.36,0.06,0,269.56,1173.84
Arkansas,36,0.78,0.58,0.02,0,233.33,1268.53
Kentucky,39,0.78,0.42,0.01,0,150.82,1292.82
Maryland,48,0.82,0.21,0.05,3.7,412.35,957.15
Tennessee,66,0.75,0.39,0.02,0.23,280.51,1098.92
Iowa,29,0.87,0.34,0.02,1.8,240.84,952.81
