State,Total
Alabama,1165
Alaska,1080
Arizona,1116
Arkansas,1208
California,1055
Colorado,1201
Connecticut,1041
Delaware,996
District of Columbia,950
Florida,1017
Georgia,1050
Hawaii,1085
Idaho,1005
Illinois,1115
Indiana,1074
Iowa,1275
Kansas,1260
Kentucky,1247
Louisiana,1198
Maine,1012
Maryland,1060
Massachusetts,1107
Michigan,1005
Minnesota,1295
Mississippi,1242
Missouri,1271
Montana,1196
Nebraska,1253
Nevada,1116
New Hampshire,1052
New Jersey,1056
New Mexico,1138
New York,1052
North Carolina,1081
North Dakota,1256
Ohio,1149
Oklahoma,1047
Oregon,1108
Pennsylvania,1071
Rhode Island,1062
South Carolina,1064
South Dakota,1216
Tennessee,1228
Texas,1020
Utah,1238
Vermont,1114
Virginia,1102
Washington,1075
West Virginia,1086
Wisconsin,1291
Wyoming,1230
