id_event,clock_time,details,number_of_shots_fired,time_day,type_of_gun
0,4:45 a.m., North 43rd Avenue and West Cactus Road,,,
1,10:10 a.m.,Interstate 43 through downtown,more than a dozen,,
2,5 p.m,northern Milwaukee,,,handguns
3,,near North 43rd Avenue and West Cactus Road,,,
4,,,,,
5,11 a.m,Avenue P and East 14th Street,,,
6,8:30 p.m.,Richland Terrace apartments off Metze Road,,night,
7,, 87th and State,,,
8,9:10 p.m,500 block of Northwest 114th Street,,night,AR-15
9,,River Drive,,night,
10,4:24 a.m,West Side,,,
11,5:45 p.m., 6900 block of North Greenview Avenue, six,,
12,,Seward neighborhood parking lot.,multiple ,,
13,3:30 a.m.,parking lot in the 1200 block of N Pennsylvania Avenue,,,handgun
14,,,,overnight,
15,12:10 p.m,Perry County,,,
16,3:30 p.m.,Central City,multiple,,
17,,4700 block of West Erie Street,,morning ,
18, 5 p.m.,1700 block of Franklin Avenue, multiple,,
19,,parking deck of the Harlem-Irving Plaza,four gunshot wounds,,".25-caliber pistol,"
20,,a south Seattle bus stop,,morning,
21,3 p.m,Raymond Avenue and Montana Street,,afternoon,
22,,Muzik nightclub at the Canada National Exhibition,,a.m,
23,,,,,
24,,,25 to 30,overnight,
25,,,,,
26,4:45 p.m,77th and Villard , at least 15 ,,
27,,,,,
28,12:28 a.m,,,,
29,1 a.m.,a home on Abbot Lane,,morning,
30,,on private land near the Clarks Mills area near the village of Valders,,,shotgun
31,,a home near 63rd Street and Fleet Avenue,,afternoon,
32,6:45 p.m,,,evening,
33,,,,night ,
34,1:40 p.m.,east side,,, handgun
35,4 p.m,I-80/94 in northwest Indiana,,afternoon,
36,,the basement of 888 Brannan,,afternoon,
37,10 a.m.,1900 block of Morris Street,eight,,
38,,South Florida ,,,
39,8:00 p.m.,3600 block of North Marvine Street,twice,,
40,,,,,
41,about 1 p.m.,the 8200 block of South Champlain Avenue,a gunshot wound,afternoon,
42,,,,,
43,,,,,
44,6 p.m,off Benjamin Holt Drive,,evening,
45,,Madison and Lorel in the South Austin neighborhood,multiple,,
46,11,Princeton Dr. near Dartmouth Av,about 25 gunshots or maybe 20,night,
47,,,,,
48,,,,,
49,,Turner Mobile Home Park,,overnight ,
50,,,,,
51,9:30 p.m,Deli Grocery and Grill on Remsen Avenue in East Flatbush,,,black revolver
52,1:46 a.m.,4000 block of Sea Drift Way,multiple,,
53,,,,,
54,,paintball facility ,a shot,night,9 millimeter glock
55, 6:30 p.m.,200-block of W. 105th Street.,,night,
56,7 p.m.,Peak Apartments in the 4400-block of East Pikes Peak Avenue,,evening,
57,, late Tuesday evening,,,
58,12:40 a.m.,1200 block of Glyndon Ave.,,,
59,,,,,
60,2 a.m.,Cherokee County,,,
61,5 a.m,February 28,two,morning,
62,6:30 p.m.,Washington Square Mall,,,
63,,1700 block of East 10th Street ,,,
64,5:45pm,17th SW and SW Kenyon,multiple,,
65,,300 block of East Home Street,, morning,
66,,Jersey shore house,,,
67,,,,,
68,,LeFlore County ,,,.380-caliber semi-automatic handgun 
69,6 p.m.,Parker Road drugstore in Greenville County,,night,
70,,,,,
71,,Regency Inn and Suites Hotel on Hampton Street,,morning,.22 caliber revolver
72,2:20 a.m.,in the alley south of Holt ,multiple,early,
73,11 p.m,Oak Park,a gunshot wound,,
74,,,,,
75,, 67-69 Mansfield St,11,,9 mm
76,,residential area of southeast Aurora ,,just after midnight ,.45 caliber handgun 
77,,,,,
78,,S. 28th and Mitchell Street,,afternoon,
79,2 a.m.,6700 block of South Artesian Avenue,,,
80,9:30 p.m,5400 block of Haverford Avenue,,,
81,,,,,
82, 9 p.m.,Benihana ,,,
83,,,,,
84,11:45 p.m,1700 Reynolds Street in Lancaster,multiple projectiles,,40 caliber spent shell casings as well as 9mm spent shell casings
85,2:20 a.m.,1500 block of Embassy Lane in Ford Heights,,morning,
86,9 a.m,,,morning,
87,12:40 a.m.,"in the area of Club Delight, located at 1611 Barnum Ave.",,,
88,,,,,
89,,,,,
90,10:20 p.m,near the Ventura County Fairgrounds,multiple gunshot,,
91, 3 a.m,Fix Hills gas station at Targee Street and Vanderbilt Avenue ,, morning,
92,8:30 p.m,,,,
93,,,,,
94,,Morris Ave,,,
95,9 p.m.,,,,
96,11:15 p.m,,,,
97,, in the woods nearly 20 miles southwest of Augusta,Campbell admitted to shooting twice,, semiautomatic gun
98,5:49 a.m,Horseshoe Pike Gun Shop at 2703 Horseshoe Pike,at least one,morning,
99,, Panera restaurant,,,
100,,Church of New Beginnings,,dawn ,
101,1:47 a.m,first block of South Eutaw Street,,,
102,11:20 p.m.,"the 4100 block of Eastmont Avenue, near Archbishop Curley High School",multiple,,handgun
103,10 p.m.,300 block of East 23rd Street.,,night,
104,3:15 a.m,"4200 block of South Lake Shore Drive,",,overnight ,
105,,,,,
106,5:45 p.m,5000 block of Keyser Street,,,
107,,,,,
108,2:30 p.m,Reservoir and Trumbull avenues,3,,22 caliber pistol
109,,PNC Bank Arts Center parking lot,about seven shots,late Monday,
110,,,,early ,
111,,Philadelphia Express Group on the 2500 block of State Road,,evening,
112,,,,,
113,,,,,
114,,,,,
115,,, shot himself once,evening,Glock
116,8:20 p.m,800 block of Cadillac Drive,,,
117,2:15 p.m,4400 block of Camden Avenue,two shots,"evening,",handgun
118,,,,,
119,11:45 a.m,,,,
120,,,, evening,
121,,,,,
122,,,,,
123,,,,,
124,3:35 p.m.,600 block of Bishop Drive,,,
125,10:58 p.m,91st and Greenwood,,,
126,,,, late,
127,,,,,
128,,,,,
129,9 p.m.,366 Whetstone River Road South,twice,night,shotgun
130,,,,,
131,,southeast Houston,,,
132,7:05 p.m.,Northgate Mall,,,
133,10 p.m.,Second and Santa Clara streets,,night,
134,3 a.m.,Quad on Spring Street,,,
135,,,,,
136,,Independence High School,,,
137,3:25 p.m,,,,
138,,,,Saturday night,
139,12:05 p.m. ,Rathbone and Elmwood ,,,
140,,Atka Court,,,
141,10 p.m.,Cam Motel room on South Ocean Boulevard,,night,
142,9:22 a.m,,,,
143,2:18 p.m.,12600 block of Keel Street,,,
144,,Starlight Lane in the town of Effingham,several,,
145,3:30 p.m.,800 block of South 23rd Street,,,
146,10 p.m.,43rd and Larkwood in the Shawnee neighborhood,,,
147,,,,,
148,6 a.m.,153-38 118th Avenue in South Jamaica,,morning,
149,8:40 p.m.,1500 block of East 67th Street,,overnight,
150,,,,,
151,11:30 a.m., 700-block of Broadmore Drive,,morning,
152,,,,,
153,1:30 a.m,East Flatbush,,morning,
154, 5 p.m. ,1400 block of Essie McIntyre Boulevard,,,
155,10 p.m., 8600 block of South Figueroa Street ,,p.m.,
156,,storage facility at 1907 Riverside Parkway,,,
157,,,,night,
158,,InTown Suites on County Road 42 West ,,midnight,.45-caliber revolver
159,11 a.m,3600 block of Purdue Avenue,,morning,
160,,,,,
161,2:25 a.m,1101 W. Cervantes Street,,a.m,
162,,Lew Briggs Road and Almeda Genoa,,evening,
163,,Planned Parenthood,,,
164, 7:30 p.m,,,,
165,,,,midnight ,
166,10 p.m,South Chappel Avenue ,,,
167,,near Franklin and Chicago avenues,,night,
168,,,,,
169,,in a Gage Park home,,,
170,12:30 a.m,,,,
171,,Pitkin and Van Siclen avenues,,afternoon ,
172,1:15 p.m,591 Windsor Ave,,afternoon,
173,,South Taft Court,,,
174,,,,morning,
175,1:20 a.m,Jack London Square nightclub,,,
176,2:20 a.m.,,,,
177,12:45 a.m. ,apartment at 1117 Vandergriff Drive,a single shot,overnight,
178,,Stronghold Court,,,
179, 3 a.m.,4100 block of Post Road,,,
