id_event,adsress,date
0,"Phoenix, AZ, USA",2016-02-26 00:00:00+00:00
1,"S Milwaukee Ave, Lake Villa, IL 60046, USA",2015-12-08 00:00:00+00:00
2,"Milwaukee, WI, USA",2015-08-02 00:00:00+00:00
3,"Phoenix, AZ, USA",2016-02-23 00:00:00+00:00
4,"Utica, NY, USA",2016-02-21 00:00:00+00:00
5,"Utica, NY, USA",2016-01-28 00:00:00+00:00
6,"Columbia, SC, USA",2015-02-08 00:00:00+00:00
7,"Chicago, IL, USA",2016-02-22 00:00:00+00:00
8,"Oklahoma City, OK, USA",2015-08-04 00:00:00+00:00
9,"Columbia, SC, USA",2015-07-27 00:00:00+00:00
10,"Chicago, IL, USA",2016-02-17 00:00:00+00:00
11,"Chicago, IL, USA",2016-01-23 00:00:00+00:00
12,"Minneapolis, MN, USA",2015-11-22 00:00:00+00:00
13,"Oklahoma City, OK, USA",2015-11-01 00:00:00+00:00
14,"Columbia, SC, USA",2015-11-17 00:00:00+00:00
15,"Columbia, SC, USA",2015-08-03 00:00:00+00:00
16,"New Orleans, LA, USA",2015-08-01 00:00:00+00:00
17,"Chicago Cl, Cape Town, 7784, South Africa",2015-12-26 00:00:00+00:00
18,"New Orleans, LA, USA",2016-02-05 00:00:00+00:00
19,"Chicago, IL, USA",2016-02-17 00:00:00+00:00
20,"Seattle, WA, USA",2015-08-03 00:00:00+00:00
21,"Pasadena, CA, USA",2016-01-07 00:00:00+00:00
22,"Toronto, ON, Canada",2015-08-03 00:00:00+00:00
23,"Hampton Cres, Cape Town, 7550, South Africa",2001-07-27 00:00:00+00:00
24,"Houston, TX, USA",1969-12-31 00:00:00+00:00
25,"Greeley, CO, USA",2005-06-24 00:00:00+00:00
26,"Milwaukee, WI, USA",2015-10-21 00:00:00+00:00
27,"Greeley, CO, USA",2001-12-25 00:00:00+00:00
28,"Willowbrook, Country Places, Cape Town, 7550, South Africa",2013-11-15 00:00:00+00:00
29,"St George, SC 29477, USA",2015-12-17 00:00:00+00:00
30,"Greeley, CO, USA",2014-11-29 00:00:00+00:00
31,"Cleveland, OH, USA",2015-04-05 00:00:00+00:00
32,"Unclear, Cape Town, 7530, South Africa",2013-09-24 00:00:00+00:00
33,"Chicago Cl, Cape Town, 7784, South Africa",2016-02-09 00:00:00+00:00
34,"Michigan - Martin, Detroit, MI 48210, USA",2015-08-03 00:00:00+00:00
35,"Hammond, IN, USA",2014-01-08 00:00:00+00:00
36,"San Francisco, CA, USA",2013-07-12 00:00:00+00:00
37,"Philadelphia, PA, USA",2015-12-06 00:00:00+00:00
38,"Greeley, CO, USA",2015-11-30 00:00:00+00:00
39,"Greeley, CO, USA",2014-09-15 00:00:00+00:00
40,"Greenville, NC, USA",2016-02-04 00:00:00+00:00
41,"South Side, Chicago, IL, USA",2013-12-16 00:00:00+00:00
42,"Greeley, CO, USA",2005-03-08 00:00:00+00:00
43,"Greeley, CO, USA",2012-08-28 00:00:00+00:00
44,"Stockton, CA, USA",2014-08-07 00:00:00+00:00
45,"Chicago, IL, USA",2015-06-05 00:00:00+00:00
46,"Vallejo, CA, USA",2013-10-27 00:00:00+00:00
47,"Unclear, Cape Town, 7525, South Africa",2015-10-28 00:00:00+00:00
48,"Kingsessing, Philadelphia, PA 19143, USA",2016-01-31 00:00:00+00:00
49,"Lumberton, TX, USA",2015-04-17 00:00:00+00:00
50,"Philadelphia, PA, USA",2016-02-14 00:00:00+00:00
51,"Brooklyn, NY, USA",2015-10-27 00:00:00+00:00
52,"Sacramento, CA, USA",2013-06-02 00:00:00+00:00
53,"Duarte, CA, USA",2006-06-13 00:00:00+00:00
54,"Forney, TX 75126, USA",2015-12-26 00:00:00+00:00
55,"Roseland, Chicago, IL, USA",2015-03-09 00:00:00+00:00
56,"Colorado Springs, CO, USA",2015-08-01 00:00:00+00:00
57,"Des Moines, IA, USA",2015-08-04 00:00:00+00:00
58,"Baltimore, MD, USA",2013-05-18 00:00:00+00:00
59,"Pomona, CA, USA",2004-07-19 00:00:00+00:00
60,"Woodstock, GA, USA",2016-03-09 00:00:00+00:00
61,"Greeley, IA 52050, USA",2016-02-28 00:00:00+00:00
62,"Indianapolis, IN, USA",2015-10-28 00:00:00+00:00
63,"Long Beach, CA, USA",2015-08-11 00:00:00+00:00
64,"Seattle, WA, USA",2015-11-06 00:00:00+00:00
