id_event,clock_time,details,number_of_shots_fired,time_day,type_of_gun
1,4:45:00, North 43rd Avenue and West Cactus Road,,,
2,10:10:00,Interstate 43 through downtown,more than a dozen,,
3,17:00:00,northern Milwaukee,,,handguns
4,,near North 43rd Avenue and West Cactus Road,,,
5,,,,,
6,11:00:00,Avenue P and East 14th Street,,,
7,20:30:00,Richland Terrace apartments off Metze Road,,night,
8,, 87th and State,,,
9,21:10:00,500 block of Northwest 114th Street,,night,AR-15
10,,River Drive,,night,
11,4:24:00,West Side,,,
12,17:45:00, 6900 block of North Greenview Avenue, six,,
13,,Seward neighborhood parking lot.,multiple ,,
14,3:30:00,parking lot in the 1200 block of N Pennsylvania Avenue,,,handgun
15,,,,overnight,
16,12:10:00,Perry County,,,
17,15:30:00,Central City,multiple,,
18,,4700 block of West Erie Street,,morning ,
19,,1700 block of Franklin Avenue, multiple,,
20,,parking deck of the Harlem-Irving Plaza,four gunshot wounds,,".25-caliber pistol,"
21,,a south Seattle bus stop,,morning,
22,15:00:00,Raymond Avenue and Montana Street,,afternoon,
23,,Muzik nightclub at the Canada National Exhibition,,a.m,
24,,,,,
25,,,25 to 30,overnight,
26,,,,,
27,16:45:00,77th and Villard , at least 15 ,,
28,,,,,
29,00:28:00,,,,
30,1:00:00,a home on Abbot Lane,,morning,
31,,on private land near the Clarks Mills area near the village of Valders,,,shotgun
32,,a home near 63rd Street and Fleet Avenue,,afternoon,
33,18:45:00,,,evening,
34,,,,night ,
35,13:40:00,east side,,, handgun
36,16:00:00,I-80/94 in northwest Indiana,,afternoon,
37,,the basement of 888 Brannan,,afternoon,
38,10:00:00,1900 block of Morris Street,eight,,
39,,South Florida ,,,
40,20:00:00,3600 block of North Marvine Street,twice,,
41,,,,,
42,,the 8200 block of South Champlain Avenue,a gunshot wound,afternoon,
43,,,,,
44,,,,,
45,18:00:00,off Benjamin Holt Drive,,evening,
46,,Madison and Lorel in the South Austin neighborhood,multiple,,
47,,Princeton Dr. near Dartmouth Av,about 25 gunshots or maybe 20,night,
48,,,,,
49,,,,,
50,,Turner Mobile Home Park,,overnight ,
51,,,,,
52,21:30:00,Deli Grocery and Grill on Remsen Avenue in East Flatbush,,,black revolver
53,1:46:00,4000 block of Sea Drift Way,multiple,,
54,,,,,
55,,paintball facility ,a shot,night,9 millimeter glock
56,18:30:00,200-block of W. 105th Street.,,night,
57,19:00:00,Peak Apartments in the 4400-block of East Pikes Peak Avenue,,evening,
58,, late Tuesday evening,,,
59,00:40:00,1200 block of Glyndon Ave.,,,
60,,,,,
61,2:00:00,Cherokee County,,,
62,5:00:00,February 28,two,morning,
63,18:30:00,Washington Square Mall,,,
64,,1700 block of East 10th Street ,,,
65,,17th SW and SW Kenyon,multiple,,
66,,300 block of East Home Street,, morning,
67,,Jersey shore house,,,
68,,,,,
69,,LeFlore County ,,,.380-caliber semi-automatic handgun 
70,18:00:00,Parker Road drugstore in Greenville County,,night,
71,,,,,
72,,Regency Inn and Suites Hotel on Hampton Street,,morning,.22 caliber revolver
73,2:20:00,in the alley south of Holt ,multiple,early,
74,23:00:00,Oak Park,a gunshot wound,,
75,,,,,
76,, 67-69 Mansfield St,11,,9 mm
77,,residential area of southeast Aurora ,,just after midnight ,.45 caliber handgun 
78,,,,,
79,,S. 28th and Mitchell Street,,afternoon,
80,2:00:00,6700 block of South Artesian Avenue,,,
81,21:30:00,5400 block of Haverford Avenue,,,
82,,,,,
83,,Benihana ,,,
84,,,,,
85,23:45:00,1700 Reynolds Street in Lancaster,multiple projectiles,,40 caliber spent shell casings as well as 9mm spent shell casings
86,2:20:00,1500 block of Embassy Lane in Ford Heights,,morning,
87,9:00:00,,,morning,
88,00:40:00,"in the area of Club Delight, located at 1611 Barnum Ave.",,,
89,,,,,
90,,,,,
91,22:20:00,near the Ventura County Fairgrounds,multiple gunshot,,
92,,Fix Hills gas station at Targee Street and Vanderbilt Avenue ,, morning,
93,20:30:00,,,,
94,,,,,
95,,Morris Ave,,,
96,21:00:00,,,,
97,23:15:00,,,,
98,, in the woods nearly 20 miles southwest of Augusta,Campbell admitted to shooting twice,, semiautomatic gun
99,5:49:00,Horseshoe Pike Gun Shop at 2703 Horseshoe Pike,at least one,morning,
100,, Panera restaurant,,,
101,,Church of New Beginnings,,dawn ,
102,1:47:00,first block of South Eutaw Street,,,
103,23:20:00,"the 4100 block of Eastmont Avenue, near Archbishop Curley High School",multiple,,handgun
104,22:00:00,300 block of East 23rd Street.,,night,
105,3:15:00,"4200 block of South Lake Shore Drive,",,overnight ,
106,,,,,
107,17:45:00,5000 block of Keyser Street,,,
108,,,,,
109,14:30:00,Reservoir and Trumbull avenues,3,,22 caliber pistol
110,,PNC Bank Arts Center parking lot,about seven shots,late Monday,
111,,,,early ,
112,,Philadelphia Express Group on the 2500 block of State Road,,evening,
113,,,,,
114,,,,,
115,,,,,
116,,, shot himself once,evening,Glock
117,20:20:00,800 block of Cadillac Drive,,,
118,14:15:00,4400 block of Camden Avenue,two shots,"evening,",handgun
119,,,,,
120,11:45:00,,,,
121,,,, evening,
122,,,,,
123,,,,,
124,,,,,
125,15:35:00,600 block of Bishop Drive,,,
126,22:58:00,91st and Greenwood,,,
127,,,, late,
128,,,,,
129,,,,,
130,21:00:00,366 Whetstone River Road South,twice,night,shotgun
131,,,,,
132,,southeast Houston,,,
133,19:05:00,Northgate Mall,,,
134,22:00:00,Second and Santa Clara streets,,night,
135,3:00:00,Quad on Spring Street,,,
136,,,,,
137,,Independence High School,,,
138,15:25:00,,,,
139,,,,Saturday night,
140,12:05:00,Rathbone and Elmwood ,,,
141,,Atka Court,,,
142,22:00:00,Cam Motel room on South Ocean Boulevard,,night,
143,9:22:00,,,,
144,14:18:00,12600 block of Keel Street,,,
145,,Starlight Lane in the town of Effingham,several,,
146,15:30:00,800 block of South 23rd Street,,,
147,22:00:00,43rd and Larkwood in the Shawnee neighborhood,,,
148,,,,,
149,6:00:00,153-38 118th Avenue in South Jamaica,,morning,
150,20:40:00,1500 block of East 67th Street,,overnight,
151,,,,,
152,11:30:00, 700-block of Broadmore Drive,,morning,
153,,,,,
154,1:30:00,East Flatbush,,morning,
155,,1400 block of Essie McIntyre Boulevard,,,
156,22:00:00, 8600 block of South Figueroa Street ,,p.m.,
157,,storage facility at 1907 Riverside Parkway,,,
158,,,,night,
159,,InTown Suites on County Road 42 West ,,midnight,.45-caliber revolver
160,11:00:00,3600 block of Purdue Avenue,,morning,
161,,,,,
162,2:25:00,1101 W. Cervantes Street,,a.m,
163,,Lew Briggs Road and Almeda Genoa,,evening,
164,,Planned Parenthood,,,
165,19:30:00,,,,
166,,,,midnight ,
167,22:00:00,South Chappel Avenue ,,,
168,,near Franklin and Chicago avenues,,night,
169,,,,,
170,,in a Gage Park home,,,
171,00:30:00,,,,
172,,Pitkin and Van Siclen avenues,,afternoon ,
173,13:15:00,591 Windsor Ave,,afternoon,
174,,South Taft Court,,,
175,,,,morning,
176,1:20:00,Jack London Square nightclub,,,
177,2:20:00,,,,
178,00:45:00,apartment at 1117 Vandergriff Drive,a single shot,overnight,
179,,Stronghold Court,,,
180,,4100 block of Post Road,,,
181,,,,,
182,2:30:00,1000 block of North Irvington Avenue,10 gun shell casings ,,
183,19:00:00,School House Lane,,,
184,21:00:00, La Hoya convenience store at 4802 Drummond St.,"shot the hostage, then shot the clerk through the glass",,
185,2:45:00,near North Side bar,several shots,early Monday morning,
186,00:55:00,4800 block of South Laflin Street,,,
187,16:00:00,,,afternoon ,
