id_event,adsress,date
0,Address,Date
1,"Phoenix, AZ, USA",2016-02-26 00:00:00+00:00
2,"S Milwaukee Ave, Lake Villa, IL 60046, USA",2015-12-08 00:00:00+00:00
3,"Milwaukee, WI, USA",2015-08-02 00:00:00+00:00
4,"Phoenix, AZ, USA",2016-02-23 00:00:00+00:00
5,"Utica, NY, USA",2016-02-21 00:00:00+00:00
6,"Utica, NY, USA",2016-01-28 00:00:00+00:00
7,"Columbia, SC, USA",2015-02-08 00:00:00+00:00
8,"Chicago, IL, USA",2016-02-22 00:00:00+00:00
9,"Oklahoma City, OK, USA",2015-08-04 00:00:00+00:00
10,"Columbia, SC, USA",2015-07-27 00:00:00+00:00
11,"Chicago, IL, USA",2016-02-17 00:00:00+00:00
12,"Chicago, IL, USA",2016-01-23 00:00:00+00:00
13,"Minneapolis, MN, USA",2015-11-22 00:00:00+00:00
14,"Oklahoma City, OK, USA",2015-11-01 00:00:00+00:00
15,"Columbia, SC, USA",2015-11-17 00:00:00+00:00
16,"Columbia, SC, USA",2015-08-03 00:00:00+00:00
17,"New Orleans, LA, USA",2015-08-01 00:00:00+00:00
18,"Chicago Cl, Cape Town, 7784, South Africa",2015-12-26 00:00:00+00:00
19,"New Orleans, LA, USA",2016-02-05 00:00:00+00:00
20,"Chicago, IL, USA",2016-02-17 00:00:00+00:00
21,"Seattle, WA, USA",2015-08-03 00:00:00+00:00
22,"Pasadena, CA, USA",2016-01-07 00:00:00+00:00
23,"Toronto, ON, Canada",2015-08-03 00:00:00+00:00
24,"Hampton Cres, Cape Town, 7550, South Africa",2001-07-27 00:00:00+00:00
25,"Houston, TX, USA",1969-12-31 00:00:00+00:00
26,"Greeley, CO, USA",2005-06-24 00:00:00+00:00
27,"Milwaukee, WI, USA",2015-10-21 00:00:00+00:00
28,"Greeley, CO, USA",2001-12-25 00:00:00+00:00
29,"Willowbrook, Country Places, Cape Town, 7550, South Africa",2013-11-15 00:00:00+00:00
30,"St George, SC 29477, USA",2015-12-17 00:00:00+00:00
31,"Greeley, CO, USA",2014-11-29 00:00:00+00:00
32,"Cleveland, OH, USA",2015-04-05 00:00:00+00:00
33,"Unclear, Cape Town, 7530, South Africa",2013-09-24 00:00:00+00:00
