State or jurisdiction,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Alabama ,64.14,63.66,64.74,65.04,65.89,66.16,67.13,68.96,69.94,71.85,76.10,75.10,74.20,80.00,86.30,89.30
Alaska ,66.69,68.01,68.04,67.20,64.11,66.50,69.05,69.09,72.58,75.48,77.90,78.60,79.90,71.80,71.10,75.60
Arizona ,63.55,74.21,75.92,66.83,84.67,70.48,69.60,70.65,72.54,74.73,78.90,77.30,76.50,75.10,75.70,77.40
Arkansas ,74.61,73.93,76.60,76.75,75.70,80.40,74.45,76.37,74.00,74.97,77.00,78.10,80.10,84.90,86.90,84.90
California ,71.72,71.62,74.07,73.87,74.55,69.23,70.71,71.18,71.01,78.19,79.70,81.70,83.60,80.40,81.00,82.00
Colorado ,74.08,73.22,76.37,78.67,76.74,75.53,76.62,75.42,77.60,79.81,82.00,82.30,83.30,76.90,77.30,77.30
Connecticut ,81.90,77.49,80.91,80.71,80.90,80.89,81.82,82.15,75.40,75.11,84.70,86.10,87.40,85.50,87.00,87.20
Delaware ,66.80,71.02,73.04,72.86,73.02,76.34,71.93,72.08,73.72,75.53,76.10,77.10,77.00,80.40,87.00,85.60
District of Columbia ,54.47,60.21,59.58,68.16,66.31,65.44,54.82,55.97,62.41,59.94,64.90,70.80,77.70,62.30,61.40,68.50
Florida ,61.01,61.20,66.72,66.45,64.64,63.55,64.95,66.91,68.95,70.77,72.00,74.70,75.80,75.60,76.10,77.90
Georgia ,59.66,58.66,60.78,61.19,61.74,62.37,64.09,65.44,67.80,69.89,69.60,69.60,70.50,71.70,72.50,78.80
Hawaii ,70.91,68.31,71.29,72.65,75.13,75.50,75.35,76.01,75.25,75.38,73.70,77.90,78.00,82.40,81.80,81.60
Idaho ,79.38,79.56,81.36,81.54,81.03,80.47,80.41,80.11,80.61,84.02,83.20,83.90,82.10,80.00,77.30,78.90
Illinois ,76.32,75.63,75.90,80.28,79.38,79.66,79.51,80.38,77.74,81.94,80.00,82.10,82.70,83.20,86.00,85.60
Indiana ,71.78,72.07,75.47,73.51,73.19,73.33,73.91,74.12,75.21,77.22,79.90,80.00,81.00,87.00,87.90,87.10
Iowa ,83.11,82.79,85.29,85.78,86.59,86.87,86.54,86.38,85.74,87.93,89.00,89.30,89.40,89.70,90.50,90.80
Kansas ,77.12,76.51,76.92,77.90,79.16,77.53,78.85,79.04,80.24,84.54,86.50,88.30,88.40,85.70,85.70,85.70
Kentucky ,69.68,69.76,71.74,73.05,75.90,77.18,76.43,74.39,77.63,79.93,80.90,81.90,83.10,86.10,87.50,88.00
Louisiana ,62.16,63.72,64.06,69.42,63.89,59.49,61.26,63.51,67.27,68.78,71.20,71.90,72.70,73.50,74.60,77.50
Maine ,75.93,76.38,76.31,77.58,78.59,76.33,78.45,79.11,79.95,82.84,85.70,86.70,87.50,86.40,86.50,87.50
Maryland ,77.65,78.69,79.22,79.55,79.31,79.89,80.02,80.44,80.13,82.16,83.80,84.50,85.60,85.00,86.40,87.00
Massachusetts ,78.01,78.88,75.68,79.27,78.74,79.49,80.84,81.51,83.25,82.63,85.40,86.50,88.40,85.00,86.10,87.30
Michigan ,75.33,75.38,73.99,72.54,73.02,72.20,77.02,76.31,75.34,75.91,74.70,77.50,78.30,77.00,78.60,79.80
Minnesota ,84.92,83.60,84.83,84.72,85.93,86.25,86.46,86.42,87.41,88.24,89.20,88.40,91.00,79.80,81.20,81.90
Mississippi ,59.40,59.72,62.71,62.73,63.34,63.53,63.55,63.88,61.98,63.77,68.50,67.30,68.40,75.50,77.60,75.40
Missouri ,76.28,75.48,78.35,80.37,80.62,81.03,81.87,82.38,83.07,83.70,84.70,85.90,86.60,85.70,87.30,87.80
Montana ,80.76,80.01,81.00,80.43,81.49,81.85,81.49,82.03,81.99,81.89,83.70,85.70,84.70,84.40,85.40,86.00
Nebraska ,85.72,83.85,85.23,87.65,87.77,86.99,86.34,83.81,82.91,83.79,89.80,92.70,93.30,88.50,89.70,88.90
Nevada ,69.70,69.95,72.33,57.37,55.78,55.80,54.22,56.33,56.33,57.82,58.70,59.50,67.50,70.70,70.00,71.30
New Hampshire ,76.13,77.80,78.16,78.74,80.06,81.06,81.65,83.35,84.28,86.25,86.60,87.00,87.30,87.30,88.10,88.10
New Jersey ,83.64,85.42,86.98,86.33,85.07,84.79,84.36,84.58,85.35,87.16,86.60,86.40,89.10,87.50,88.60,89.70
New Mexico ,64.71,65.89,63.07,67.00,65.44,67.26,59.12,66.77,64.79,67.34,70.70,74.30,71.60,70.30,68.50,68.60
New York ,61.76,61.54,60.93,60.93,65.32,67.43,68.88,70.92,73.55,75.97,77.60,77.10,78.50,76.80,77.80,79.20
North Carolina ,65.84,66.54,70.05,71.37,72.59,71.80,68.59,72.79,75.08,76.88,76.80,78.70,80.50,82.50,83.90,85.60
North Dakota ,85.99,85.42,86.38,86.08,86.30,82.15,83.11,83.81,87.45,88.37,90.20,91.10,91.40,87.50,87.20,86.60
Ohio ,75.19,76.45,78.99,81.28,80.25,79.18,78.67,78.98,79.60,81.38,82.30,83.90,84.90,82.20,81.80,80.70
Oklahoma ,75.75,75.82,75.99,77.03,76.91,77.82,77.81,77.96,77.31,78.53,79.90,79.30,79.40,84.80,82.70,82.50
Oregon ,69.64,68.29,73.65,74.24,74.17,73.02,73.76,76.72,76.48,76.33,78.10,78.00,76.80,68.70,72.00,73.80
Pennsylvania ,78.73,78.97,81.74,82.18,82.52,83.51,83.00,82.71,80.53,84.08,85.80,88.30,88.40,85.50,85.30,84.80
Rhode Island ,72.79,73.51,77.65,75.90,78.43,77.76,78.36,76.43,75.32,76.42,76.60,77.10,79.00,79.70,80.80,83.20
South Carolina ,58.61,56.51,59.71,60.64,60.08,61.05,58.91,62.22,65.99,68.16,69.00,71.60,74.20,77.60,80.10,80.30
South Dakota ,77.63,77.44,83.01,83.67,82.30,84.50,82.50,84.40,81.70,81.83,81.60,83.10,83.80,82.70,82.70,83.90
Tennessee ,59.55,58.98,63.36,66.11,68.49,70.66,72.64,74.87,77.41,80.41,81.10,83.60,82.40,86.30,87.20,87.90
Texas ,71.03,70.84,75.47,76.72,74.01,72.45,71.88,73.14,75.43,78.94,81.40,83.00,83.60,88.00,88.30,89.00
Utah ,82.47,81.60,80.15,83.03,84.44,78.56,76.60,74.33,79.40,78.63,78.50,77.60,81.60,83.00,83.90,84.80
Vermont ,81.03,80.22,83.60,85.36,86.53,82.28,88.55,89.33,89.57,91.42,92.70,91.90,89.30,86.60,87.80,87.70
Virginia ,76.90,77.53,80.60,79.29,79.63,74.47,75.46,76.97,78.39,81.17,82.70,83.90,84.80,84.50,85.30,85.70
Washington ,73.67,69.18,74.19,74.57,75.00,72.90,74.79,71.93,73.73,77.20,79.00,79.20,80.40,76.40,78.20,78.20
West Virginia ,76.74,75.86,75.73,76.89,77.29,76.86,78.21,77.31,76.97,78.26,78.10,80.30,81.50,81.40,84.50,86.50
Wisconsin ,82.69,83.34,85.80,85.80,86.70,87.46,88.54,89.60,90.74,91.08,92.20,92.20,93.00,88.00,88.60,88.40
Wyoming ,76.29,73.43,73.88,76.01,76.74,76.09,75.77,76.03,75.17,80.30,80.40,80.20,82.50,77.00,78.60,79.30
