"State","gunOwnership","Pop"
"Delaware","0.0520",982895
"Rhode Island","0.0580",1056161
"New York","0.1030",19440469
"New Jersey","0.1130",8936574
"New Hampshire","0.1440",1371246
"Connecticut","0.1660",3563077
"Ohio","0.1960",11747694
"Nebraska","0.1980",1952570
"California","0.2010",39937489
"Maryland","0.2070",6083116
"Maine","0.2260",1345790
"Massachusetts","0.2260",6976597
"Illinois","0.2620",12659682
"Oregon","0.2660",4301089
"Missouri","0.2710",6169270
"Pennsylvania","0.2710",12820878
"Washington","0.2770",7797095
"North Carolina","0.2870",10611862
"Michigan","0.2880",10045029
"Vermont","0.2880",628061
"Virginia","0.2930",8626207
"Oklahoma","0.3120",3954821
"Georgia","0.3160",10736059
"Utah","0.3190",3282115
"Kansas","0.3220",2910357
"Arizona","0.3230",7378494
"Florida","0.3250",21992985
"Indiana","0.3380",6745354
"Iowa","0.3380",3179849
"Colorado","0.3430",5845526
"Wisconsin","0.3470",5851754
"South Dakota","0.3500",903027
"Texas","0.3570",29472295
"Minnesota","0.3670",5700671
"Nevada","0.3750",3139658
"Tennessee","0.3940",6897576
"Kentucky","0.4240",4499692
"Mississippi","0.4280",2989260
"South Carolina","0.4440",5210095
"Louisiana","0.4450",4645184
"Hawaii","0.4510",1412687
"North Dakota","0.4790",761723
"Alabama","0.4890",4908621
"New Mexico","0.4990",2096640
"Montana","0.5230",1086759
"Wyoming","0.5380",567025
"West Virginia","0.5420",1778070
"Idaho","0.5690",1826156
"Arkansas","0.5790",3038999
"Alaska","0.6170",734002
